,group,kn_GW170817_counts,kn_GW170817_error,kn_Maf_Mean_Counts,kn_Pop_kNe_counts,kn_Pop_kNe_error,static_median Y1 $i$-band coadded depth in effective survey area,static_median Y10 $i$-band coadded depth in effective survey area,static_median Y3 $i$-band coadded depth in effective survey area,static_median Y6 $i$-band coadded depth in effective survey area,static_stddev of Y1 $i$-band coadded depth in effective survey area,static_stddev of Y10 $i$-band coadded depth in effective survey area,static_stddev of Y3 $i$-band coadded depth in effective survey area,static_stddev of Y6 $i$-band coadded depth in effective survey area,static_Y1 effective survey area,static_Y10 effective survey area,static_Y3 effective survey area,static_Y6 effective survey area,lss_diagnostic FOM Y1,lss_diagnostic FOM Y10,lss_Y1 Ngal (0.66<z<1.0),lss_Y10 Ngal (0.66<z<1.0),sl_num_lensed_SNe_Ia_with_good_time_delays_lensed_by_galaxies,sl_num_lensed_quasars_with_good_time_delays,sl_td_all_bands_distance_precision,sl_num_lensed_SNe_Ia_in_specific_galaxy_clusters,sl_std_num_lensed_SNe_Ia_in_specific_galaxy_clusters ,sn_faint_nsn_tot,sn_faint_zmax,sn_normal_nsn_tot,sn_faint_snr_rate,sn_faint_zlim_r,sn_normal_zmax,wl_fom,wl_systematics,pz_y10_zlow_fout,pz_y10_zlow_stdd,pz_y10_zlow_bias,pz_y10_zhigh_fout,pz_y10_zhigh_stdd,pz_y10_zhigh_bias
agnddf_v1.4_10yrs.db,AGN_DDF,99.4,9.969954864,32.79222058,37.2,6.099180273,25.1,26.31,25.71,26.05,0.16,0.13,0.14,0.14,15164.88,15154.65,15268.85,15201.44,0.8846449049,0.9796113443,4.43E+08,9.49E+08,32.01434012,417,0.2564522258,0.21,0.11,48084,0.18,165998,0.5842,0.2983,0.28,35.52902782,207.2954857,,,,,,
alt_roll_mod2_dust_sdf_0.20_v1.4_10yrs.db,alt_roll_dust,88.4,9.402127419,24.60041667,31.6,5.621387729,25,26.19,25.54,25.92,0.16,0.13,0.18,0.15,16734.73,16027.99,16378.82,15909.07,0.8834849943,1.007270814,4.88E+08,9.99E+08,24.26331694,314,0.3311737958,0.13,0.09,41133,0.17,129800,0.5658,0.2876,0.27,37.65161097,183.3582387,,,,,,
baseline_2snapsv1.4_10yrs.db,baseline,86.2,9.284395511,27.57775591,31.8,5.639148872,25.04,26.25,25.65,25.99,0.15,0.12,0.13,0.13,14943.1,14926.47,15148.78,14986.85,0.8855035315,0.9728007954,4.36E+08,9.33E+08,29.9165757,389,0.2722833508,0.2,0.11,37355,0.17,123964,0.5644,0.2969,0.27,34.72529812,182.114015,,,,,,
baseline_v1.4_10yrs.db,baseline,90.8,9.5289034,30.63877953,37.2,6.099180273,25.09,26.29,25.69,26.03,0.16,0.13,0.14,0.14,15124.18,15048.22,15250.44,15107.5,0.8914235507,0.9770583217,4.42E+08,9.41E+08,30.98025237,406,0.2620070349,0.09,0.04,45060,0.18,149129,0.5741,0.2953,0.27,35.22559394,197.3582785,,,,,,
bulges_bs_v1.4_10yrs.db,bulge,83.8,9.154233993,23.76333333,27.8,5.272570531,24.99,26.22,25.62,25.96,0.16,0.13,0.14,0.14,16865.19,16717.84,17205.94,16903.37,0.8937596945,1.026051079,4.91E+08,1.04E+09,27.81014891,418,0.2637196713,0.18,0.11,39408,0.17,129684,0.5583,0.2862,0.26,39.28288327,177.7499416,,,,,,
bulges_bulge_wfd_v1.4_10yrs.db,bulge,80.2,8.955445271,23.73791667,29.6,5.440588203,24.99,26.22,25.61,25.95,0.16,0.13,0.14,0.13,17044.74,16604.69,17230.65,16808.17,0.8953586567,1.022904906,4.96E+08,1.04E+09,27.67122758,423,0.262851078,0.19,0.1,38864,0.17,128397,0.5495,0.2855,0.26,39.04507652,175.6247633,,,,,,
bulges_cadence_bs_v1.4_10yrs.db,bulge,73.6,8.579044236,23.68083333,26,5.099019514,24.99,26.22,25.61,25.96,0.16,0.13,0.14,0.13,16770.03,16706.4,17229.39,16901.64,0.8935064054,1.025230105,4.88E+08,1.04E+09,27.7273371,418,0.2637079529,0.14,0.1,39457,0.17,129909,0.5596,0.2868,0.25,39.29070279,177.9074597,,,,,,
bulges_cadence_bulge_wfd_v1.4_10yrs.db,bulge,79.6,8.921883209,23.78282618,33.2,5.761944116,24.99,26.21,25.61,25.95,0.16,0.13,0.14,0.13,16886.96,16665.38,17233.27,16925.62,0.8922176224,1.025530886,4.92E+08,1.04E+09,27.64669821,423,0.2626302042,0.16,0.1,38612,0.17,128108,0.5495,0.2865,0.26,39.10434769,175.4797191,,,,,,
bulges_cadence_i_heavy_v1.4_10yrs.db,bulge,86,9.273618495,23.65944143,30.8,5.54977477,24.99,26.21,25.61,25.95,0.16,0.13,0.14,0.13,16848.45,16565.45,17114.04,16744.75,0.89341066,1.022439593,4.91E+08,1.03E+09,27.67989207,424,0.2626489712,0.19,0.1,38858,0.16,128317,0.5462,0.2867,0.25,38.90183165,175.2532176,,,,,,
bulges_i_heavy_v1.4_10yrs.db,bulge,77.6,8.809086218,23.93166667,28.2,5.310367219,25,26.21,25.61,25.95,0.16,0.13,0.14,0.13,16906.78,16635.43,17214.12,16815.67,0.8861970287,1.023943521,4.92E+08,1.04E+09,27.59109353,423,0.2632430149,0.17,0.1,38769,0.17,128884,0.5543,0.2861,0.25,39.0603534,175.4527157,,,,,,
dcr_nham1_v1.4_10yrs.db,DCR,85.8,9.262828942,30.00295276,32.2,5.674504384,25.07,26.3,25.69,26.03,0.16,0.13,0.14,0.13,15117.46,15123.86,15246.08,15171.39,0.8922808204,0.9778685433,4.41E+08,9.46E+08,31.63718412,414,0.2605671377,0.08,0.03,42591,0.17,148144,0.5714,0.2915,0.27,35.38451438,196.9282142,,,,,,
dcr_nham2_v1.4_10yrs.db,DCR,91.8,9.581231654,29.93503937,30.4,5.513619501,25.07,26.3,25.71,26.04,0.16,0.13,0.14,0.13,15055.83,15139.49,15254.27,15172.65,0.890749976,0.9783665304,4.40E+08,9.47E+08,31.76672132,416,0.2598131087,0.17,0.11,39394,0.17,145818,0.5652,0.2886,0.27,35.44377018,197.2992552,,,,,,
dcr_nham3_v1.4_10yrs.db,DCR,92,9.591663047,29.2519685,35.4,5.949789912,25.06,26.31,25.7,26.04,0.15,0.13,0.14,0.13,15141.64,15138.18,15262.08,15180.93,0.8992403024,0.9781750273,4.42E+08,9.47E+08,31.45521495,417,0.2591067671,0.19,0.11,36603,0.16,141785,0.5556,0.2853,0.27,35.45744201,197.2611952,,,,,,
dcr_nham4_v1.4_10yrs.db,DCR,86.4,9.295160031,29.11515748,35.4,5.949789912,25.05,26.31,25.69,26.04,0.15,0.13,0.13,0.13,15132.99,15165.62,15278.61,15208.26,0.9073969949,0.9779748631,4.42E+08,9.49E+08,31.44603827,418,0.2588463796,0.17,0.11,33504,0.16,137229,0.5494,0.2833,0.27,35.52571817,197.4810355,,,,,,
