Observing Strategy,zcomp,nsn,deltaN,deltaz
ddf_accourd_sf0.20_lsf0.3_lsr0.1_v2.1_10yrs,0.2789,96526.2032,0.0102,-0.0009
ddf_accourd_sf0.20_lsf0.3_lsr0.3_v2.1_10yrs,0.2777,96093.9811,0.0056,-0.0021
ddf_accourd_sf0.20_lsf0.3_lsr0.5_v2.1_10yrs,0.2788,96533.5517,0.0102,-0.001
ddf_accourd_sf0.20_lsf0.4_lsr0.1_v2.1_10yrs,0.2781,95572.8532,0.0002,-0.0017
ddf_accourd_sf0.20_lsf0.4_lsr0.3_v2.1_10yrs,0.2778,95630.8387,0.0008,-0.002
ddf_accourd_sf0.20_lsf0.4_lsr0.5_v2.1_10yrs,0.2788,96259.5609,0.0074,-0.0009
ddf_accourd_sf0.25_lsf0.3_lsr0.1_v2.1_10yrs,0.2785,96524.4697,0.0101,-0.0013
ddf_accourd_sf0.25_lsf0.3_lsr0.3_v2.1_10yrs,0.2789,96393.2143,0.0088,-0.0009
ddf_accourd_sf0.25_lsf0.3_lsr0.5_v2.1_10yrs,0.279,96325.5258,0.0081,-0.0008
ddf_old_rot_slf0.15_v2.1_10yrs,0.2795,98176.6411,0.0274,-0.0003
ddf_old_rot_slf0.20_v2.1_10yrs,0.2807,98555.7134,0.0314,0.0009
ddf_old_rot_slf0.25_v2.1_10yrs,0.2775,96600.4289,0.0109,-0.0023
ddf_old_rot_slf0.30_v2.1_10yrs,0.2783,96940.7068,0.0145,-0.0015
ddf_old_rot_slf0.35_v2.1_10yrs,0.2783,96527.2696,0.0102,-0.0015
ddf_quad_slf0.10_v2.1_10yrs,0.276,92457.6823,-0.0324,-0.0038
ddf_quad_slf0.15_v2.1_10yrs,0.2756,91002.8431,-0.0476,-0.0042
ddf_quad_slf0.20_v2.1_10yrs,0.275,90009.5083,-0.058,-0.0048
ddf_quad_slf0.25_v2.1_10yrs,0.2745,89210.6307,-0.0664,-0.0053
ddf_quad_slf0.30_v2.1_10yrs,0.2709,87582.0861,-0.0834,-0.0089
ddf_quad_slf0.35_v2.1_10yrs,0.2716,88545.1534,-0.0734,-0.0082
ddf_quad_subfilter_slf0.10_v2.1_10yrs,0.2779,99458.8814,0.0409,-0.0019
ddf_quad_subfilter_slf0.15_v2.1_10yrs,0.2787,98272.3275,0.0284,-0.0011
ddf_quad_subfilter_slf0.20_v2.1_10yrs,0.2781,99108.4582,0.0372,-0.0017
ddf_quad_subfilter_slf0.25_v2.1_10yrs,0.2761,97604.1222,0.0214,-0.0037
ddf_quad_subfilter_slf0.30_v2.1_10yrs,0.2758,98355.7604,0.0293,-0.0039
ddf_quad_subfilter_slf0.35_v2.1_10yrs,0.275,97969.1436,0.0253,-0.0048
baseline_v2.1_10yrs,0.2798,95554.7266,0,0
ddf_accourd_sf0.05_lsf0.1_lsr0.1_v2.1_10yrs,0.2812,98002.8802,0.0256,0.0014
ddf_accourd_sf0.05_lsf0.1_lsr0.3_v2.1_10yrs,0.281,97502.241,0.0204,0.0012
ddf_accourd_sf0.05_lsf0.1_lsr0.5_v2.1_10yrs,0.2795,97664.5226,0.0221,-0.0003
ddf_accourd_sf0.05_lsf0.2_lsr0.1_v2.1_10yrs,0.2799,96862.6138,0.0137,0.0001
ddf_accourd_sf0.05_lsf0.2_lsr0.3_v2.1_10yrs,0.281,98125.2828,0.0269,0.0012
ddf_accourd_sf0.05_lsf0.2_lsr0.5_v2.1_10yrs,0.2804,97408.5261,0.0194,0.0006
ddf_accourd_sf0.05_lsf0.3_lsr0.1_v2.1_10yrs,0.2784,96906.9044,0.0142,-0.0014
ddf_accourd_sf0.05_lsf0.3_lsr0.3_v2.1_10yrs,0.2793,97393.1795,0.0192,-0.0005
ddf_accourd_sf0.05_lsf0.3_lsr0.5_v2.1_10yrs,0.2791,97836.8119,0.0239,-0.0007
ddf_accourd_sf0.05_lsf0.4_lsr0.1_v2.1_10yrs,0.2781,95246.223,-0.0032,-0.0017
ddf_accourd_sf0.05_lsf0.4_lsr0.3_v2.1_10yrs,0.2791,96968.4953,0.0148,-0.0007
ddf_accourd_sf0.05_lsf0.4_lsr0.5_v2.1_10yrs,0.2807,98607.226,0.0319,0.0009
ddf_accourd_sf0.10_lsf0.1_lsr0.1_v2.1_10yrs,0.2796,97500.8904,0.0204,-0.0001
ddf_accourd_sf0.10_lsf0.1_lsr0.3_v2.1_10yrs,0.2799,97742.4955,0.0229,0.0001
ddf_accourd_sf0.10_lsf0.1_lsr0.5_v2.1_10yrs,0.2807,97769.8825,0.0232,0.0009
ddf_accourd_sf0.10_lsf0.2_lsr0.1_v2.1_10yrs,0.2795,98092.0151,0.0266,-0.0003
ddf_accourd_sf0.25_lsf0.4_lsr0.1_v2.1_10yrs,0.278,95770.522,0.0023,-0.0018
ddf_accourd_sf0.25_lsf0.4_lsr0.3_v2.1_10yrs,0.2769,94963.8231,-0.0062,-0.0028
ddf_accourd_sf0.25_lsf0.4_lsr0.5_v2.1_10yrs,0.2781,95520.1701,-0.0004,-0.0017
ddf_accourd_sf0.30_lsf0.4_lsr0.1_v2.1_10yrs,0.2782,96209.9306,0.0069,-0.0016
ddf_accourd_sf0.30_lsf0.4_lsr0.3_v2.1_10yrs,0.2776,95031.3754,-0.0055,-0.0022
ddf_accourd_sf0.30_lsf0.4_lsr0.5_v2.1_10yrs,0.2764,95215.6458,-0.0035,-0.0034
ddf_bright_slf0.10_v2.1_10yrs,0.2779,92899.2201,-0.0278,-0.0019
ddf_bright_slf0.15_v2.1_10yrs,0.2764,91458.7481,-0.0429,-0.0034
ddf_bright_slf0.20_v2.1_10yrs,0.2759,90319.5368,-0.0548,-0.0039
ddf_bright_slf0.25_v2.1_10yrs,0.2735,89359.5174,-0.0648,-0.0063
ddf_bright_slf0.30_v2.1_10yrs,0.2726,89556.5674,-0.0628,-0.0072
ddf_bright_slf0.35_v2.1_10yrs,0.2733,88961.0193,-0.069,-0.0065
ddf_deep_rolling_slf0.20_v2.1_10yrs,0.2818,101801.4136,0.0654,0.002
ddf_deep_u_slf0.20_v2.1_10yrs,0.2751,86486.2063,-0.0949,-0.0047
ddf_dither_size_slf0.20_md0.01_v2.1_10yrs,0.2791,96145.7403,0.0062,-0.0007
ddf_dither_size_slf0.20_md0.05_v2.1_10yrs,0.2806,97687.0308,0.0223,0.0008
ddf_dither_size_slf0.20_md0.10_v2.1_10yrs,0.279,97022.5219,0.0154,-0.0008
ddf_dither_size_slf0.20_md0.25_v2.1_10yrs,0.2799,96744.5297,0.0125,0.0001
good_seeing_u_gsw3.0_v2.1_10yrs,0.281,95121.8296,-0.0045,0.0012
good_seeing_u_gsw50.0_v2.1_10yrs,0.2797,94312.7455,-0.013,-0.0001
good_seeing_u_gsw6.0_v2.1_10yrs,0.2805,95095.4284,-0.0048,0.0007
march_start_v2.1_10yrs,0.2832,95603.2942,0.0005,0.0034
no_repeat_rpw-1.0_v2.1_10yrs,0.2803,100548.306,0.0523,0.0005
no_repeat_rpw-10.0_v2.1_10yrs,0.2768,104917.143,0.098,-0.003
no_repeat_rpw-100.0_v2.1_10yrs,0.2754,102801.034,0.0758,-0.0044
no_repeat_rpw-2.0_v2.1_10yrs,0.2787,102985.3227,0.0778,-0.0011
no_repeat_rpw-20.0_v2.1_10yrs,0.2759,103467.021,0.0828,-0.0039
no_repeat_rpw-5.0_v2.1_10yrs,0.2785,105085.6414,0.0997,-0.0013
pencil_fs1_v2.1_10yrs,0.2772,92938.5372,-0.0274,-0.0026
pencil_fs2_v2.1_10yrs,0.2786,94584.8518,-0.0101,-0.0012
plane_priority_priority0.1_pbf_v2.1_10yrs,0.2565,64248.4303,-0.3276,-0.0233
plane_priority_priority0.1_pbt_v2.1_10yrs,0.257,64686.3015,-0.323,-0.0228
plane_priority_priority0.2_pbf_v2.1_10yrs,0.2655,72086.3787,-0.2456,-0.0143
plane_priority_priority0.2_pbt_v2.1_10yrs,0.2651,72101.5527,-0.2454,-0.0147
plane_priority_priority0.3_pbf_v2.1_10yrs,0.2716,79617.6792,-0.1668,-0.0082
ddf_roll_slf0.20_v2.1_10yrs,0.2799,96186.616,0.0066,0.0001
ddf_season_length_slf0.10_v2.1_10yrs,0.2814,98210.6768,0.0278,0.0016
ddf_season_length_slf0.15_v2.1_10yrs,0.2797,98136.1379,0.027,-0.0001
ddf_season_length_slf0.20_v2.1_10yrs,0.281,98685.1451,0.0328,0.0012
ddf_season_length_slf0.25_v2.1_10yrs,0.2773,96249.9479,0.0073,-0.0025
ddf_season_length_slf0.30_v2.1_10yrs,0.2784,97081.0789,0.016,-0.0014
ddf_season_length_slf0.35_v2.1_10yrs,0.2774,95497.6284,-0.0006,-0.0024
good_seeing_gsw0.0_v2.1_10yrs,0.2771,91086.5707,-0.0468,-0.0027
good_seeing_gsw1.0_v2.1_10yrs,0.2784,93332.8808,-0.0233,-0.0014
good_seeing_gsw10.0_v2.1_10yrs,0.2818,95533.3405,-0.0002,0.002
good_seeing_gsw20.0_v2.1_10yrs,0.2814,94327.0192,-0.0128,0.0016
good_seeing_gsw3.0_v2.1_10yrs,0.2798,95554.7266,0,0
good_seeing_gsw50.0_v2.1_10yrs,0.2813,94825.8747,-0.0076,0.0015
good_seeing_gsw6.0_v2.1_10yrs,0.2831,95708.1921,0.0016,0.0033
good_seeing_u_gsw0.0_v2.1_10yrs,0.277,90938.5224,-0.0483,-0.0028
good_seeing_u_gsw1.0_v2.1_10yrs,0.2793,93758.9957,-0.0188,-0.0005
good_seeing_u_gsw10.0_v2.1_10yrs,0.2806,94936.3083,-0.0065,0.0008
good_seeing_u_gsw20.0_v2.1_10yrs,0.2792,93022.0277,-0.0265,-0.0006
plane_priority_priority0.3_pbt_v2.1_10yrs,0.2719,80548.2363,-0.157,-0.0079
plane_priority_priority0.4_pbf_v2.1_10yrs,0.275,83817.6545,-0.1228,-0.0048
plane_priority_priority0.4_pbt_v2.1_10yrs,0.2749,83728.6408,-0.1238,-0.0049
plane_priority_priority0.6_pbf_v2.1_10yrs,0.2781,92609.5665,-0.0308,-0.0017
plane_priority_priority0.6_pbt_v2.1_10yrs,0.2782,92481.8588,-0.0322,-0.0016
plane_priority_priority0.9_pbf_v2.1_10yrs,0.2789,95702.5611,0.0015,-0.0009
plane_priority_priority0.9_pbt_v2.1_10yrs,0.2794,94164.1223,-0.0146,-0.0004
plane_priority_priority1.2_pbf_v2.1_10yrs,0.2791,95848.9108,0.0031,-0.0007
plane_priority_priority1.2_pbt_v2.1_10yrs,0.2791,95848.9108,0.0031,-0.0007
shave_20_v2.1_10yrs,0.2607,100952.4816,0.0565,-0.0191
shave_22_v2.1_10yrs,0.2661,99338.6563,0.0396,-0.0137
shave_25_v2.1_10yrs,0.2726,98854.2298,0.0345,-0.0072
shave_28_v2.1_10yrs,0.2774,97738.2752,0.0229,-0.0024
shave_30_v2.1_10yrs,0.2811,95808.0599,0.0027,0.0013
shave_32_v2.1_10yrs,0.2846,93863.9248,-0.0177,0.0048
shave_35_v2.1_10yrs,0.2878,88808.383,-0.0706,0.008
shave_38_v2.1_10yrs,0.2926,85524.1274,-0.105,0.0128
shave_40_v2.1_10yrs,0.2953,82785.916,-0.1336,0.0155
