Observing Strategy,zcomp,nsn,deltaN,deltaz
retro_baseline_v2.0_10yrs,0.2772,85649.1963,-0.0629,-0.0007
roll_early_v2.0_10yrs,0.2879,92643.0295,0.0137,0.0099
rolling_all_sky_ns2_rw0.9_v2.0_10yrs,0.2775,90825.0577,-0.0062,-0.0004
rolling_bulge_6_v2.0_10yrs,0.2774,89558.9478,-0.0201,-0.0005
rolling_bulge_ns2_rw0.5_v2.0_10yrs,0.2691,86604.2464,-0.0524,-0.0089
rolling_bulge_ns2_rw0.8_v2.0_10yrs,0.2762,89911.4356,-0.0162,-0.0018
rolling_bulge_ns2_rw0.9_v2.0_10yrs,0.2768,90490.6428,-0.0099,-0.0011
long_gaps_nightsoff2_delayed1827_v2.0_10yrs,0.274,86013.3688,-0.0589,-0.0039
long_gaps_nightsoff3_delayed-1_v2.0_10yrs,0.2732,84136.9662,-0.0794,-0.0048
long_gaps_nightsoff3_delayed1827_v2.0_10yrs,0.2747,87961.2548,-0.0376,-0.0032
long_gaps_nightsoff4_delayed-1_v2.0_10yrs,0.273,84633.0403,-0.074,-0.005
long_gaps_nightsoff4_delayed1827_v2.0_10yrs,0.2765,88479.4343,-0.0319,-0.0015
long_gaps_nightsoff5_delayed-1_v2.0_10yrs,0.2736,85628.9651,-0.0631,-0.0043
long_gaps_nightsoff5_delayed1827_v2.0_10yrs,0.2756,88591.7182,-0.0307,-0.0023
long_gaps_nightsoff6_delayed-1_v2.0_10yrs,0.275,86842.7884,-0.0498,-0.0029
long_gaps_nightsoff6_delayed1827_v2.0_10yrs,0.276,89086.8248,-0.0253,-0.0019
long_gaps_nightsoff7_delayed-1_v2.0_10yrs,0.2739,86290.1471,-0.0559,-0.0041
long_gaps_nightsoff7_delayed1827_v2.0_10yrs,0.2757,89379.1461,-0.0221,-0.0023
long_gaps_np_nightsoff0_delayed-1_v2.0_10yrs,0.259,47038.825,-0.4853,-0.019
long_gaps_np_nightsoff0_delayed1827_v2.0_10yrs,0.2681,71652.6391,-0.216,-0.0099
long_gaps_np_nightsoff1_delayed-1_v2.0_10yrs,0.2652,71055.2331,-0.2225,-0.0128
long_gaps_np_nightsoff1_delayed1827_v2.0_10yrs,0.2707,81845.531,-0.1045,-0.0072
long_gaps_np_nightsoff2_delayed-1_v2.0_10yrs,0.2708,78006.7018,-0.1465,-0.0072
roman_v2.0_10yrs,0.2778,90611.8837,-0.0086,-0.0001
short_exp_v2.0_10yrs,0.2734,87497.7246,-0.0426,-0.0045
six_rolling_ns6_rw0.5_v2.0_10yrs,0.266,76924.6172,-0.1583,-0.012
six_rolling_ns6_rw0.9_v2.0_10yrs,0.2695,80885.9222,-0.115,-0.0084
smc_movie_v2.0_10yrs,0.277,90099.7425,-0.0142,-0.0009
too_rate10_v2.0_10yrs,0.2764,89465.4685,-0.0211,-0.0015
too_rate50_v2.0_10yrs,0.2766,87896.3489,-0.0383,-0.0013
twilight_neo_nightpattern1v2.0_10yrs,0.2682,74991.8605,-0.1795,-0.0097
twilight_neo_nightpattern2v2.0_10yrs,0.2731,82625.7771,-0.0959,-0.0048
twilight_neo_nightpattern3v2.0_10yrs,0.275,85608.5956,-0.0633,-0.003
twilight_neo_nightpattern4v2.0_10yrs,0.275,87188.0745,-0.046,-0.003
twilight_neo_nightpattern5v2.0_10yrs,0.2722,83065.6417,-0.0911,-0.0057
twilight_neo_nightpattern6v2.0_10yrs,0.274,84057.8912,-0.0803,-0.0039
twilight_neo_nightpattern7v2.0_10yrs,0.2742,85366.1647,-0.066,-0.0037
vary_expt_v2.0_10yrs,0.2757,73050.0311,-0.2007,-0.0022
vary_gp_gpfrac0.01_v2.0_10yrs,0.2783,94836.2673,0.0377,0.0003
vary_gp_gpfrac0.05_v2.0_10yrs,0.2782,94159.3605,0.0302,0.0002
vary_gp_gpfrac0.10_v2.0_10yrs,0.2783,93744.5075,0.0257,0.0003
vary_gp_gpfrac0.15_v2.0_10yrs,0.2776,92701.3875,0.0143,-0.0004
vary_gp_gpfrac0.20_v2.0_10yrs,0.277,91987.1673,0.0065,-0.001
vary_gp_gpfrac0.25_v2.0_10yrs,0.2759,90591.7644,-0.0088,-0.002
vary_gp_gpfrac0.30_v2.0_10yrs,0.2765,90205.1462,-0.013,-0.0015
vary_gp_gpfrac0.35_v2.0_10yrs,0.2757,89098.4278,-0.0251,-0.0022
vary_gp_gpfrac0.40_v2.0_10yrs,0.275,87700.9824,-0.0404,-0.003
vary_gp_gpfrac0.45_v2.0_10yrs,0.2743,85822.582,-0.061,-0.0037
vary_gp_gpfrac0.50_v2.0_10yrs,0.2744,85362.6974,-0.066,-0.0036
vary_gp_gpfrac0.55_v2.0_10yrs,0.2743,84933.9986,-0.0707,-0.0037
vary_gp_gpfrac0.75_v2.0_10yrs,0.2703,78960.9182,-0.136,-0.0076
north_stripe_v2.0_10yrs,0.2749,87366.8954,-0.0441,-0.0031
presto_gap1.5_mix_v2.0_10yrs,0.2558,37913.7283,-0.5852,-0.0222
presto_gap1.5_v2.0_10yrs,0.2556,28024.4152,-0.6934,-0.0224
presto_gap2.0_mix_v2.0_10yrs,0.2561,39589.5066,-0.5668,-0.0219
presto_gap2.0_v2.0_10yrs,0.2555,29014.5389,-0.6825,-0.0224
presto_gap2.5_mix_v2.0_10yrs,0.257,38721.5216,-0.5763,-0.021
presto_gap2.5_v2.0_10yrs,0.2566,29459.7355,-0.6777,-0.0214
presto_gap3.0_mix_v2.0_10yrs,0.2577,40865.7485,-0.5529,-0.0202
presto_gap3.0_v2.0_10yrs,0.2579,31471.9446,-0.6556,-0.0201
presto_gap3.5_mix_v2.0_10yrs,0.26,40879.2253,-0.5527,-0.0179
presto_gap3.5_v2.0_10yrs,0.2587,31614.5235,-0.6541,-0.0193
presto_gap4.0_mix_v2.0_10yrs,0.2607,44576.0606,-0.5123,-0.0173
presto_gap4.0_v2.0_10yrs,0.2594,36616.0058,-0.5994,-0.0186
presto_half_gap1.5_mix_v2.0_10yrs,0.2638,62677.075,-0.3142,-0.0142
presto_half_gap1.5_v2.0_10yrs,0.2614,58575.6687,-0.3591,-0.0165
presto_half_gap2.0_mix_v2.0_10yrs,0.265,65761.2659,-0.2805,-0.0129
