run_name,3x2ptFoM Exgalm5WithCuts i band non-DD year 10 HealpixSlicer,Median WeakLensingNvisits gri band non-DD HealpixSlicer,Total detected SNNSNMetric_reducen_sn DDF excluded HealpixSlicer,Total detected SNSLMetric HealpixSlicer,Total detected KNePopMetric_all_ztfrest_simple all models UserPointsSlicer,Effective Area (deg) Exgalm5WithCuts i band non-DD year 10 HealpixSlicer,Median Exgalm5WithCuts i band non-DD year 10 HealpixSlicer,Median Median Inter-Night Gap WFD all bands HealpixSubsetSlicer,Median Median Inter-Night Gap WFD r band HealpixSubsetSlicer,Mean Median Season Length WFD all bands HealpixSubsetSlicer,fONv MedianNvis fO HealpixSlicer,Median Median Inter-Night Gap WFD u band HealpixSubsetSlicer,Median Median Inter-Night Gap WFD g band HealpixSubsetSlicer,Median Median Inter-Night Gap WFD i band HealpixSubsetSlicer,Median Median Inter-Night Gap WFD z band HealpixSubsetSlicer,Median Median Inter-Night Gap WFD y band HealpixSubsetSlicer
baseline_production_v5.0.1_10yrs,40.99220678797136,408.0,101463.922983,10.790150090876372,4206.0,17629.36301766056,26.298259272613567,2.9592019583324145,7.91443147208156,178.51657011907167,762.0,25.920840364424294,17.960700696457934,7.99491284103533,9.141431486974398,19.942545710830018
baseline_v2.0_10yrs,37.83432370497392,440.0,84521.22648099999,8.080277129049865,2770.0,16688.51484137884,26.181072437539125,3.009974663546018,5.988039620344352,173.10764179174296,834.0,26.488419830919156,20.82028677407652,7.214179081693146,8.058288814780099,14.483341579893022
baseline_v2.1_10yrs,38.49878169416897,441.0,83126.586481,7.721966743091513,2755.0,16824.480411903052,26.22268583122625,3.0376425660670066,5.970789821974904,171.02519932493303,834.0,26.4486684186395,20.87050615536282,7.13061833579377,8.01259863183077,15.046262313040643
baseline_v2.2_10yrs,39.75998689166218,438.0,96102.976188,8.948343315773826,3166.0,17230.698536185257,26.25634828748001,2.984381333410056,5.9930809373454395,174.08535640624584,826.0,23.953760013020656,20.938285683052527,7.003458568489805,7.509091747668208,13.028918097761562
baseline_v3.0_10yrs,38.5699949852187,420.0,94711.273608,9.416210755475092,3306.0,16873.159443325298,26.215503097384303,2.957301457554422,5.997448784062726,178.93826863261094,791.0,23.95847530584797,21.427381815721674,7.005381402426792,7.020265015155019,12.943086138660874
baseline_v3.2_10yrs,39.14610686423336,426.0,107287.044585,9.611252668078086,3968.0,17028.428767689365,26.2408481316765,2.919392604353561,6.040063369651762,177.48466916942593,801.0,25.484586492020753,18.83643779003978,6.986054979921391,8.016138605702508,15.878417815431021
baseline_v3.3_10yrs,41.765004202676494,428.0,132932.293442,10.307480920414577,4700.0,17767.00717547519,26.38928730666042,2.895803901656109,6.02915844292329,176.04542885440347,807.0,25.97417902586494,18.00611306083738,6.971532142611977,7.9772786980065575,12.95468783538854
baseline_v3.4_10yrs,41.76433421948963,430.0,132121.47427200002,10.4043609821945,4908.0,17756.935651732656,26.394199886758226,2.8996156201574195,5.980382858586381,174.66524512933182,812.0,25.924322588662108,17.96735663367508,6.947381716408927,7.938643497178418,13.08280290971743
baseline_v3.5_10yrs,41.27536599503158,421.0,114367.709815,9.897480147975095,4181.0,17661.256176178584,26.337099407984258,2.980124437790437,6.950666714225008,174.38732148012753,799.0,25.50032703468969,19.330974902795788,7.944246093400579,8.460869978962364,17.963511103564088
baseline_v3.6_10yrs,40.87272641233581,397.0,100064.40353,9.330445571518775,3916.0,17563.89811333409,26.304903949213493,3.012649957108806,7.363095821152456,177.86490440102327,769.0,26.463411602142514,20.190159760812094,8.151436879485118,9.068612899711297,20.820151909540073
baseline_v4.0_10yrs,40.95033098974129,400.0,102138.477361,9.44530191497017,3983.0,17574.808930721832,26.314196003832915,3.0047794975380384,7.041919194778529,177.52841605727434,775.0,26.005667391833413,20.25673866456782,8.113478467072127,9.421439854400887,19.988160353192143
baseline_v4.1_10yrs,40.86019930006702,401.0,100612.557306,9.416999095307794,3915.0,17565.57670062451,26.301958511971886,3.010227747314275,7.069357148011477,177.9739003753008,775.0,25.945029040150985,20.434513032683753,8.05831209956159,9.115451592231693,19.956403784553913
baseline_v4.2_10yrs,40.701891389249184,396.0,97923.05458699999,9.247995930941109,3805.0,17537.88001033254,26.285999605119727,3.017206941256518,7.977390066575026,183.86774084321243,766.0,26.86866430009104,20.963506607140516,8.726311677150079,9.894480013272187,21.10003740850152
baseline_v4.3.5_10yrs,40.829608775927255,397.0,98191.032322,,3826.0,17572.2910497862,26.29371591490047,3.01156940164401,7.971271070133298,183.62945026572848,765.0,26.444134286492044,20.93945361329679,8.855761401291602,9.950165959255173,20.959868726340574
baseline_v5.0.0_10yrs,41.32927043495058,403.0,109012.128692,10.406094787884955,4214.0,17686.434985534917,26.336202360264327,2.978952144208961,7.987980196954595,187.37249101794262,777.0,26.00892409084372,19.92113013443668,8.825821015194379,9.900940130377421,19.938329247519505
baseline_v5.0.1_10yrs,41.268264133497766,411.0,106902.53933,10.589267553481337,4258.0,17695.667215632242,26.320259639838447,2.9760366981809057,7.973520535040734,188.4034091065892,778.0,25.77407150741419,19.910821903602482,8.84690601525108,9.784592681939102,18.366103158845362
ddf_acc_early_v5.0.0_10yrs,41.24910747364538,400.0,105824.09151200001,10.33937316760263,4190.0,17679.72063637323,26.32372693396094,2.9836439187511132,7.9990008024651615,188.84922806231532,773.0,26.819098629488508,20.476884056162817,8.861218712048867,9.87964573696081,20.005052270704255
