,3x2ptFoM Exgalm5WithCuts i band non-DD year 10 HealpixSlicer,Median WeakLensingNvisits gri band non-DD HealpixSlicer,Total detected SNNSNMetric_reducen_sn DDF excluded HealpixSlicer,Total detected SNSLMetric HealpixSlicer,Total detected KNePopMetric_all_multi_color_detect all models UserPointsSlicer,Effective Area (deg) Exgalm5WithCuts i band non-DD year 10 HealpixSlicer,fONv MedianNvis fO HealpixSlicer,Median Median Inter-Night Gap WFD all bands HealpixSubsetSlicer,Median Median Inter-Night Gap WFD r band HealpixSubsetSlicer,Mean Median Season Length WFD all bands HealpixSubsetSlicer,Median Exgalm5WithCuts i band non-DD year 10 HealpixSlicer,Median Median Inter-Night Gap WFD u band HealpixSubsetSlicer,Median Median Inter-Night Gap WFD g band HealpixSubsetSlicer,Median Median Inter-Night Gap WFD i band HealpixSubsetSlicer,Median Median Inter-Night Gap WFD z band HealpixSubsetSlicer,Median Median Inter-Night Gap WFD y band HealpixSubsetSlicer
start_date_do-270v3.4_10yrs,41.802005889947324,433.0,157217.469943,10.397294813313314,20728.0,17746.024834344913,816.0,2.8353301779425237,5.081539251263166,172.47228607813685,26.408485384488493,24.987225499486158,18.507126112544938,6.081184572531129,7.90802354067273,11.478877027342605
start_date_do-360v3.4_10yrs,41.86875800918928,435.0,157038.55703,10.539875108449861,20242.0,17772.042937346458,820.0,2.877663710460183,5.157476995627803,175.19656988147494,26.410814191680515,25.926615119376947,17.911884237058985,6.838965040573385,7.931832816233509,11.855986315153132
start_date_do-90v3.4_10yrs,41.76045739575938,431.0,153533.03138399997,10.499546139615441,22400.0,17735.953310602377,813.0,2.8101155612203,5.820562602428254,170.97732085409947,26.403955885492437,25.020285643535317,17.86259512106153,6.848253859583565,7.7684537319946685,10.952612241868337
start_date_do0v3.4_10yrs,41.71852995360457,433.0,151255.975817,10.41376466377119,23183.0,17740.149778828432,818.0,2.873637456978031,5.8967401190820965,173.72694597044665,26.392250456401324,25.86317359902023,17.502923720552644,6.878308213803393,7.907812495279359,11.995116358877567
start_date_do180v3.4_10yrs,41.57170932754632,431.0,146795.20636399998,10.255765609989158,21778.0,17699.024390213086,812.0,2.9166874823349644,5.967230734273471,178.50546603079482,26.380132471780527,25.48313022869843,18.265512380898144,6.980304324373719,7.976597762422898,13.039735604485031
start_date_do270v3.4_10yrs,41.823382528516376,434.0,154711.16630500002,,21711.0,17761.971413603926,817.0,2.829922346645617,5.061183890982647,172.16396220412065,26.40528948465476,25.413180256757187,17.928163190357736,6.767109430009441,7.893169155060605,11.104350448411424
start_date_do360v3.4_10yrs,41.821436978773335,437.0,152179.605947,10.401717439529794,20846.0,17767.846469120403,824.0,2.8837773433369875,5.460032582119311,175.07059714642318,26.401817118928836,25.368637589181162,17.95597890616773,6.9209945796610555,7.925153522519395,11.924866656365339
start_date_do90v3.4_10yrs,41.68059454756015,430.0,150857.090232,10.333985493493696,22209.0,17724.203199569423,811.0,2.8679025889359764,5.942271723492013,174.1886532996409,26.391692103034217,25.025831994084,17.889966659720812,6.917564284722175,7.897180044186825,11.131763116936781
too_100_1v3.4_10yrs,41.753805692613255,433.0,149719.20556899998,10.395557170850738,23043.0,17744.34624705449,815.0,2.8964530755620217,5.94748159269875,176.3181317721732,26.398156206713796,25.79879482240358,18.14083312160801,6.951608624316577,7.9571695191152685,12.713823210106057
too_100_4v3.4_10yrs,41.78232000197178,431.0,148037.495766,10.202846490779006,22585.0,17774.56081828209,812.0,2.905296764598461,5.948630924220197,176.26361249668824,26.389417569659187,25.023605929840414,19.92344719648827,6.905831504162052,7.992203459412849,13.03491761132318
too_10_1v3.4_10yrs,41.770854639599385,432.0,151137.469028,10.344219337760634,22995.0,17760.292826313504,816.0,2.8957813895140134,5.9496198621127405,175.05763023195126,26.393993106252502,25.90006801364507,17.980033543337413,6.949271873349062,7.953464998950949,11.980578953684017
too_10_4v3.4_10yrs,41.7269021939172,432.0,150223.789482,10.36610498637977,23135.0,17745.185540699702,816.0,2.8912739147544926,5.925108395618736,174.69813523876118,26.39161690740205,25.94767354327996,18.74301885681416,6.923430176622787,7.942918480941444,12.005478485159983
too_5_1v3.4_10yrs,41.748095209767094,433.0,151923.91852300003,10.390820316846938,23098.0,17746.024834344913,816.0,2.8910021042320295,5.946643245330051,174.50568679947213,26.396002248364,24.97423345452262,18.048584034513624,6.938073032513785,7.898248490422702,12.93438138376223
too_5_4v3.4_10yrs,41.67816731857735,433.0,149076.254463,10.35433036071424,23190.0,17718.328144052943,817.0,2.8906158474601398,5.953580457971839,174.83462377606952,26.394080619469865,25.88212802595808,17.92341908315575,6.943045081148739,7.946864276906126,11.948443008812319
too_combined_no_gw_s10.0_v3.4_10yrs,41.733185052818754,433.0,150363.17444600002,10.408891947354364,23022.0,17735.953310602377,816.0,2.8790709173517826,5.956611801626423,174.9602990761945,26.39768556246603,25.48751241082573,17.959471674676024,6.9611296398506965,7.960764798581295,11.47015590160845
too_combined_no_nss_s10.0_v3.4_10yrs,41.75601551171391,427.0,147582.05548799998,,22578.0,17751.89988986139,818.0,2.92301960065015,5.9723122226751,176.28901424312278,26.394843757946706,25.872724460485188,19.472923469142188,6.939228679599182,7.946549880933162,13.426707763697777
too_combined_s0.0_v3.4_10yrs,41.71852995360457,433.0,151255.975817,10.41376466377119,23183.0,17740.149778828432,818.0,2.873637456978031,5.8967401190820965,173.72694597044665,26.392250456401324,25.86317359902023,17.502923720552644,6.878308213803393,7.907812495279359,11.995116358877567
too_combined_s0.5_v3.4_10yrs,41.717170521379614,431.0,148936.547647,10.420042430382752,22928.0,17735.114016957166,816.0,2.8919311973968433,5.951836326805278,175.32522959512463,26.39446871699264,25.886190902303497,18.48192407978422,6.956600510389762,7.9453623335466546,12.0111130354544
too_combined_s0.8_v3.4_10yrs,41.67831913635574,432.0,148318.43186900002,10.368296662808959,23022.0,17726.721080505056,816.0,2.89304637744317,5.9543528152662475,174.00942858794966,26.389929293908256,25.454055249467274,17.941470042966102,6.9552581825591915,7.959775761473793,13.02959409504183
too_combined_s1.0_split_v3.4_10yrs,41.774999446356794,431.0,150038.275632,10.412261861649936,23004.0,17759.45353266829,816.0,2.8842950450762146,5.95164929771272,174.1127471448347,26.39536400961188,25.918635379679472,18.436987446615603,6.935914794845303,7.939569060168651,12.968931433468242
too_combined_s1.0_v3.4_10yrs,41.76522075462542,431.0,149324.085738,10.382123093778873,22956.0,17751.89988986139,817.0,2.889404034543986,5.969210686549559,174.427779608305,26.396947017751504,24.983162654763873,18.018327497940845,6.956457123846121,7.962004394412361,12.009668308903201
too_combined_s1.5_v3.4_10yrs,41.78278189427111,430.0,149666.836654,10.403524450557978,22781.0,17763.650000894348,817.0,2.8906927245261613,5.955081630665518,174.31721804408863,26.395022790647026,25.901944564400765,17.989803983233287,6.945649202014465,7.958211051794933,12.09232664659794
too_combined_s2.0_v3.4_10yrs,41.718101424448975,429.0,147592.261428,10.361218056143452,22824.0,17742.66765976407,816.0,2.898875919781858,5.961120034415217,174.81343743119373,26.390893916469736,25.456100576946483,18.914121532416175,6.970399572786846,7.95990647697181,11.956564300471655
too_elab_2yr_r128_d2_griz_v3.4_10yrs,41.75936617889194,431.0,148055.561083,10.355178658687423,22849.0,17764.48929453956,814.0,2.910840364254909,5.985374348627374,175.88067060985014,26.38927512821091,25.88659850656404,18.45946040619674,6.959687057875271,7.958985690034751,12.945050555403213
too_elab_2yr_r128_d2_ugrizy_v3.4_10yrs,41.754477115147786,431.0,147854.806069,,22921.0,17758.614239023078,813.0,2.918680371105438,5.984948985977098,175.77835098780955,26.391115864950944,26.018945689596876,18.02534219925292,6.946402441197279,7.967055233246356,13.087207398828468
too_elab_2yr_r128_d3_griz_v3.4_10yrs,41.69075736864873,432.0,147634.767768,10.294405995561172,22937.0,17731.756842376322,813.0,2.903425284566765,5.974963535414645,175.76524365886283,26.39020291798269,25.50874710915923,18.04196496895929,6.968011896011376,7.96447821469701,12.905693212149345
too_elab_2yr_r128_d3_ugrizy_v3.4_10yrs,41.75817893628914,431.0,147547.896565,,22908.0,17756.935651732656,813.0,2.91203170458175,5.979893610921863,175.61177606130582,26.392799081770253,25.94029916244108,18.486832976403093,6.9572376127689495,7.973018553057045,12.945490895763214
too_elab_2yr_r32_d2_ugrizy_v3.4_10yrs,41.72609633432219,432.0,149227.69053099997,10.390843286816184,23141.0,17746.864127990124,815.0,2.899556639351431,5.970326976901561,174.3716371889104,26.39059505318402,25.917431911637323,18.583927820242025,6.952201357062222,7.951732307406928,11.89989079859879
too_elab_2yr_r32_d3_ugrizy_v3.4_10yrs,41.724177739743965,432.0,149153.72605500004,10.320577313059419,23124.0,17735.953310602377,815.0,2.9047462134913076,5.967585296861216,174.43988634075455,26.395635371042818,25.897452608194726,17.986904721259634,6.960765312989679,7.934890645185078,12.903189711811137
too_elab_2yr_r64_d2_ugrizy_v3.4_10yrs,41.684847905010365,432.0,148920.693962,,22918.0,17730.0782550859,814.0,2.9050751652830513,5.966000228654593,174.6759243299797,26.38971724224021,25.94090830346977,18.467135318991495,6.951453824236523,7.965114403090411,13.439918324773316
too_elab_2yr_r64_d3_ugrizy_v3.4_10yrs,41.705813233792696,432.0,148684.003554,,22999.0,17740.149778828432,814.0,2.9117083895725955,5.971798268812563,175.40400980562924,26.38939180629513,25.912242848567985,18.456579041376244,6.959162039202056,7.977507897594478,13.400534797448927
too_elab_heavy_r128_d2_griz_v3.4_10yrs,41.59958332613992,436.0,139912.329561,10.143563198747941,21682.0,17698.185096567875,815.0,2.936474873096813,5.995128518485217,176.53432345248171,26.386614209655637,25.83557004490649,20.171378854709474,6.9957604419541894,7.986175803205697,12.033855724665045
too_elab_heavy_r128_d2_gz_v3.4_10yrs,41.67553289772691,434.0,142696.097826,10.015644841243027,21894.0,17733.435429666744,815.0,2.9355286071659066,5.982209762369166,176.28923512690486,26.385977911567842,25.467189754406718,20.57890335238335,6.926651409419719,8.052072843052883,13.943925739724364
too_elab_heavy_r128_d2_ugrizy_v3.4_10yrs,41.61451636534447,434.0,140010.183197,,21681.0,17714.9709694721,814.0,2.9386581457474676,5.999561796190392,175.8695548481057,26.381646864943516,25.786303304863395,20.911522201191474,6.985319722443819,7.988077125704876,12.43378273864073
too_elab_heavy_r128_d3_griz_v3.4_10yrs,41.61285846333655,436.0,139278.599376,10.086449558096506,21337.0,17712.453088536466,814.0,2.938547658486641,5.980265335012518,175.86486465513414,26.382517982157097,25.46292888472817,19.98367386580503,6.999037206864159,7.9890717217786005,12.942976351900143
too_elab_heavy_r128_d3_gz_v3.4_10yrs,41.59382828066414,435.0,140854.416674,9.944618068342152,21927.0,17705.738739374778,815.0,2.9374568446946796,5.983017621467297,177.03987473604099,26.381655352071288,25.94169863237039,20.18700558244018,6.959939945169026,8.064304778366932,14.086699214814871
too_elab_heavy_r128_d3_ugrizy_v3.4_10yrs,41.6217211548346,435.0,138406.516798,,21693.0,17714.131675826888,814.0,2.9431631055340404,5.990180141299788,175.894313284509,26.383633364638364,25.90263421257987,20.051089418670017,6.991074053468765,7.997317186986038,12.036970874829422
