run_name,3x2ptFoM Exgalm5WithCuts i band non-DD year 10 HealpixSlicer,Median WeakLensingNvisits gri band non-DD HealpixSlicer,Total detected SNNSNMetric_reducen_sn DDF excluded HealpixSlicer,Total detected SNSLMetric HealpixSlicer,Total detected KNePopMetric_all_ztfrest_simple all models UserPointsSlicer,Effective Area (deg) Exgalm5WithCuts i band non-DD year 10 HealpixSlicer,Median Exgalm5WithCuts i band non-DD year 10 HealpixSlicer,Median Median Inter-Night Gap WFD all bands HealpixSubsetSlicer,Median Median Inter-Night Gap WFD r band HealpixSubsetSlicer,Mean Median Season Length WFD all bands HealpixSubsetSlicer,fONv MedianNvis fO HealpixSlicer,Median Median Inter-Night Gap WFD u band HealpixSubsetSlicer,Median Median Inter-Night Gap WFD g band HealpixSubsetSlicer,Median Median Inter-Night Gap WFD i band HealpixSubsetSlicer,Median Median Inter-Night Gap WFD z band HealpixSubsetSlicer,Median Median Inter-Night Gap WFD y band HealpixSubsetSlicer
baseline_v2.0_10yrs,37.83432370497392,440.0,84521.22648099999,8.080277129049865,2770.0,16688.51484137884,26.181072437539125,3.009974663546018,5.988039620344352,173.10764179174296,834.0,26.488419830919156,20.82028677407652,7.214179081693146,8.058288814780099,14.483341579893022
baseline_v2.1_10yrs,38.49878169416897,441.0,83126.586481,7.721966743091513,2755.0,16824.480411903052,26.22268583122625,3.0376425660670066,5.970789821974904,171.02519932493303,834.0,26.4486684186395,20.87050615536282,7.13061833579377,8.01259863183077,15.046262313040643
baseline_v2.2_10yrs,39.75998689166218,438.0,96102.976188,8.948343315773826,3166.0,17230.698536185257,26.25634828748001,2.984381333410056,5.9930809373454395,174.08535640624584,826.0,23.953760013020656,20.938285683052527,7.003458568489805,7.509091747668208,13.028918097761562
baseline_v3.0_10yrs,38.5699949852187,420.0,94711.273608,9.416210755475092,3306.0,16873.159443325298,26.215503097384303,2.957301457554422,5.997448784062726,178.93826863261094,791.0,23.95847530584797,21.427381815721674,7.005381402426792,7.020265015155019,12.943086138660874
baseline_v3.2_10yrs,39.14610686423336,426.0,107287.044585,9.611252668078086,3968.0,17028.428767689365,26.2408481316765,2.919392604353561,6.040063369651762,177.48466916942593,801.0,25.484586492020753,18.83643779003978,6.986054979921391,8.016138605702508,15.878417815431021
baseline_v3.3_10yrs,41.765004202676494,428.0,132932.293442,10.307480920414577,4700.0,17767.00717547519,26.38928730666042,2.895803901656109,6.02915844292329,176.04542885440347,807.0,25.97417902586494,18.00611306083738,6.971532142611977,7.9772786980065575,12.95468783538854
baseline_v3.4_10yrs,41.76433421948963,430.0,132121.47427200002,10.4043609821945,4908.0,17756.935651732656,26.394199886758226,2.8996156201574195,5.980382858586381,174.66524512933182,812.0,25.924322588662108,17.96735663367508,6.947381716408927,7.938643497178418,13.08280290971743
baseline_v3.5_10yrs,41.27536599503158,421.0,114367.709815,9.897480147975095,4181.0,17661.256176178584,26.337099407984258,2.980124437790437,6.950666714225008,174.38732148012753,799.0,25.50032703468969,19.330974902795788,7.944246093400579,8.460869978962364,17.963511103564088
baseline_v3.6_10yrs,40.87272641233581,397.0,100064.40353,9.330445571518775,3916.0,17563.89811333409,26.304903949213493,3.012649957108806,7.363095821152456,177.86490440102327,769.0,26.463411602142514,20.190159760812094,8.151436879485118,9.068612899711297,20.820151909540073
baseline_v4.0_10yrs,40.95033098974129,400.0,102138.477361,9.44530191497017,3983.0,17574.808930721832,26.314196003832915,3.0047794975380384,7.041919194778529,177.52841605727434,775.0,26.005667391833413,20.25673866456782,8.113478467072127,9.421439854400887,19.988160353192143
