run_name,3x2ptFoM Exgalm5WithCuts i band non-DD year 10 HealpixSlicer,Median WeakLensingNvisits gri band non-DD HealpixSlicer,Total detected SNNSNMetric_reducen_sn DDF excluded HealpixSlicer,Total detected SNSLMetric HealpixSlicer,Total detected KNePopMetric_all_ztfrest_simple all models UserPointsSlicer,Effective Area (deg) Exgalm5WithCuts i band non-DD year 10 HealpixSlicer,Median Exgalm5WithCuts i band non-DD year 10 HealpixSlicer,Median Median Inter-Night Gap WFD all bands HealpixSubsetSlicer,Median Median Inter-Night Gap WFD r band HealpixSubsetSlicer,Mean Median Season Length WFD all bands HealpixSubsetSlicer,fONv MedianNvis fO HealpixSlicer,Median Median Inter-Night Gap WFD u band HealpixSubsetSlicer,Median Median Inter-Night Gap WFD g band HealpixSubsetSlicer,Median Median Inter-Night Gap WFD i band HealpixSubsetSlicer,Median Median Inter-Night Gap WFD z band HealpixSubsetSlicer,Median Median Inter-Night Gap WFD y band HealpixSubsetSlicer
all_early_v4.3.2_10yrs,40.52675301152495,395.0,91686.749766,9.491096009260039,3657.0,17466.540050489595,26.28572804777883,3.0497386404349527,8.077407522861904,190.8129706855544,765.0,26.84874972542093,20.968589279631487,9.004884170723017,10.067560328714535,21.751544330920296
baseline_v2.0_10yrs,37.9162383426428,443.0,85154.962982,8.119046278737446,2712.0,16712.854357089967,26.18353397715537,3.00800768280169,5.985856488783611,173.21611498906017,839.0,26.46440148774127,20.773862389287387,7.1482417956176505,8.051802003876219,14.411614543441829
baseline_v2.1_10yrs,38.578458855988345,443.0,83705.108221,7.751495929902093,2772.0,16848.819927614175,26.225116514384684,3.0344973171449965,5.9682895870173525,171.1061122798566,838.0,26.431375586813374,20.84503422250964,7.107606326899258,8.00928613412907,14.998273865188821
baseline_v2.2_10yrs,39.8176626629224,440.0,96728.58533799999,8.978276006630342,3209.0,17245.80582179906,26.259397346464205,2.98382934014262,5.991322327459784,174.16191292912657,830.0,23.946415804217395,20.93271869896489,7.002046313466053,7.487207947977367,13.01283909817721
baseline_v3.0_10yrs,38.661645731012115,423.0,95279.847397,9.448832057597475,3337.0,16902.53472090769,26.21777373317929,2.956382253252741,5.99490147758479,179.01906582427213,795.0,23.953894653768657,21.406983498020054,7.0034573559187265,7.016600245582595,12.937589446817583
baseline_v3.2_10yrs,39.221234542145616,428.0,107955.822675,9.642916724334327,4009.0,17051.089696110066,26.243426748360562,2.9175311695526034,6.036222526685378,177.5749824493426,805.0,25.466780594713782,18.789678518227447,6.983822260661327,8.012571218449011,15.837700602331097
baseline_v3.3_10yrs,41.79501457527454,430.0,133750.99574100002,10.33930749705235,4647.0,17775.4001119273,26.391882830181668,2.893276720005815,6.0263292220206495,176.1401010090731,811.0,25.96773327799565,17.998123104825936,6.967948164168774,7.973969885535553,12.921584236559283
baseline_v3.4_10yrs,41.78968933573681,433.0,132899.282052,10.436158232905036,4868.0,17762.810707249137,26.397033221715038,2.8972403554143966,5.97859178881663,174.74156660298925,817.0,25.920923998613944,17.96041317723575,6.943797381900367,7.934852850719835,13.018231690937682
baseline_v3.5_10yrs,41.30655355453134,423.0,115168.36427300001,9.930484249729155,4215.0,17667.97052534027,26.340151363921176,2.979235316590348,6.947706891241978,174.4752511739372,803.0,25.485925541448523,19.09583030058093,7.940235227017183,8.40434414163974,17.940033766628403
baseline_v3.6_10yrs,40.90282374299067,399.0,100782.976031,9.363814520456444,4053.0,17569.773168850566,26.30777667429417,3.0113132113183383,7.154930809896541,177.96303613621382,773.0,26.445372435646277,20.099073121662514,8.121197232976556,9.058218116369972,20.790097809580402
baseline_v4.0_10yrs,40.97555101440377,402.0,102797.12783800001,9.480413238767753,4032.0,17579.00539894789,26.316980215442943,3.0038525086147274,7.034949214787048,177.6217717606442,779.0,25.99638707111444,20.060422128455684,8.092944457044723,9.213453910611861,19.968987178246607
baseline_v4.1_10yrs,40.90360786897734,403.0,101317.179542,9.450469539386257,4057.0,17577.32681165747,26.304679880801697,3.008946774434662,7.060516655074025,178.08033014335294,779.0,25.94138272141754,20.41757676419911,8.0517676338186,9.092288579166052,19.943679116147905
baseline_v4.2_10yrs,40.73401265300704,398.0,98622.257263,9.280988073035239,3955.0,17543.75506584902,26.289075375599623,3.015784117682415,7.974527046839285,183.95269036088348,770.0,26.855111320090145,20.953489173931303,8.551005546763918,9.879495506536841,21.028873938819743
baseline_v4.3.1_10yrs,40.70196858728494,398.0,98689.67921500001,9.275038511221863,3904.0,17537.88001033254,26.28601283865374,3.020102711569052,7.960062495545571,184.7971226892526,769.0,26.43559505216217,20.99802168630231,8.899687530340088,9.96481547584699,21.393021401425358
baseline_v4.3.2_10yrs,40.683214294730035,398.0,97665.94503599999,9.307566847294698,3973.0,17523.612018363954,26.2887323689227,3.015560804087727,7.972475565768036,184.5472303080672,770.0,26.444390928147186,21.868434256353794,8.88751174142999,9.937396805975368,21.40519872416189
baseline_v4.3.3_10yrs,40.80552157732083,398.0,99028.589039,9.34912216566977,3926.0,17548.790827720288,26.29941938336665,3.0174218083484448,7.970808923371806,184.28099388559747,770.0,26.118368620049296,20.959132559841237,8.886926397735806,9.912227885264656,21.316715256014504
baseline_v4.3.5_10yrs,40.86223453660316,399.0,98907.5465,,3878.0,17579.00539894789,26.296612313051927,3.010511805983697,7.967649412903484,183.71063534864868,769.0,26.43567652892125,20.931920752840597,8.838465311957407,9.943482397236949,20.952791721447284
ddf_accor_skipizy_v4.3.2_10yrs,40.66728111741749,397.0,98908.535832,9.437150262668354,3884.0,17521.094137428317,26.287049310275673,3.008190010656108,7.9651379349706986,185.0437868215762,769.0,25.98320403532125,21.066849693408585,8.470355636547538,9.990469683863921,21.74603408679104
ddf_accor_v4.3.2_10yrs,40.68567034691878,398.0,97086.70063800001,9.349028162676383,3764.0,17531.165661170853,26.286012362504245,3.0144354194744665,8.003113706412478,184.4418712037476,769.0,26.811782744141965,20.97233742894241,8.874280619162164,9.956003622468415,21.275722726431923
ddf_daily_ff_v4.3.2_10yrs,41.020899477437744,410.0,103597.064232,9.53391589640379,4064.0,17612.577144756335,26.310692767157743,2.999625759690389,7.894184898441381,184.06622583935444,792.0,25.974852373456088,19.99378886377599,8.09665613845209,9.190181090918486,19.851231620137696
ddf_daily_v4.3.2_10yrs,40.56356383497511,390.0,93247.21913,9.025961824694106,3712.0,17506.82614545973,26.275395501643985,3.031833003849897,7.983547747062403,183.67456192532418,754.0,26.89840262178768,20.92000468516926,8.971372890944622,9.986069191052593,20.788769540051362
ddf_ocean_ocean6_v4.3.5_10yrs,40.65077348018866,391.0,94726.932079,9.387261655968326,3806.0,17535.362129396908,26.278339504861986,3.0128802381259447,8.440323087295837,185.39019262068365,753.0,26.481183119147317,20.88523738814547,8.970093057403574,10.011181230094735,21.37625175150606
ddf_ocean_ocean7_v4.3.5_10yrs,40.723244651612646,392.0,94231.775362,9.444992139076215,3732.0,17540.397891268178,26.288620378248538,3.011000848531694,8.033491181853606,185.73065945649785,755.0,26.410594975355707,20.990210059968376,8.970194563975383,9.9598271238101,20.89297990221894
ddf_roll__1_v4.3.1_10yrs,40.65123881668771,397.0,96248.45802399999,9.407997811726716,3762.0,17531.165661170853,26.280149221687243,3.015818164589291,7.988672545396184,185.2661970002695,767.0,26.402932688013607,20.48533592885724,8.90415859712084,9.976153834573779,20.94243388167888
ddf_roll_baseline_v4.3.2_10yrs,40.689561691448645,398.0,98544.338938,9.41058792158438,3815.0,17528.64778023522,26.28772595165353,3.010632050489221,7.925470592346755,184.54319402004967,770.0,26.105164188200433,20.942844428405806,8.908310186820017,9.94285658242552,21.37747388184107
desc_ddf_gen_0.70_co_v4.3.1_10yrs,40.59142788118692,395.0,94646.30113800001,9.316748694927337,3866.0,17513.54049462142,26.27731313730181,3.023835763178795,7.985121978195821,184.57769582364685,763.0,26.8945777760091,20.900786319281906,8.929822004902235,9.990466494280554,21.808620179879654
desc_ddf_gen_0.70_sn_v4.3.1_10yrs,40.591451802834264,395.0,94852.891951,9.348345757897365,3834.0,17517.736962847473,26.27559672600318,3.0130852260099346,7.983658039549482,185.01110630116526,764.0,26.008116953267745,20.455519453360466,8.92957526464852,9.99222850985825,21.433144644772256
desc_ddf_gen_0.70_v4.3.1_10yrs,40.591451802834264,395.0,94852.891951,9.348345757897365,3834.0,17517.736962847473,26.27559672600318,3.0130852260099346,7.983658039549482,185.01110630116526,764.0,26.008116953267745,20.455519453360466,8.92957526464852,9.99222850985825,21.433144644772256
desc_ddf_gen_0.70_wz_v4.3.1_10yrs,40.57075315649796,392.0,93386.27632500001,9.25299595032032,3750.0,17509.344026395363,26.27556758654157,3.0163882497436134,7.984937472036108,184.7148760712979,758.0,26.81196354093845,20.969992588037712,8.948413883388639,9.973736087573343,21.89649295284471
desc_ddf_gen_0.75_co_v4.3.1_10yrs,40.612448490572824,395.0,95993.66464,9.293705142967278,3760.0,17519.415550137895,26.278435869422843,3.0183229969334207,8.000087423155492,185.425375811073,765.0,26.04954055057533,20.926953126432636,8.929095363548186,9.99251358876245,21.901150239309572
desc_ddf_gen_0.75_sn_v4.3.1_10yrs,40.64744850775537,397.0,96675.04281000001,9.421902365160134,3889.0,17511.861907330996,26.287491179190802,3.014684175970615,7.993132316321862,185.44772455199947,767.0,26.159693070581852,20.008032296474994,8.913882390423169,9.994789803073218,21.310228065467527
desc_ddf_gen_0.75_wz_v4.3.1_10yrs,40.508472836726966,393.0,94023.92709699999,9.261467953174039,3741.0,17487.522391619874,26.274094677073812,3.0168880342625926,8.007838140823878,184.43040502785016,760.0,26.43268991093464,20.917146773077548,8.927463444229943,9.976275952256401,21.883969344162324
desc_ddf_gen_0.80_co_v4.3.1_10yrs,40.55911856395458,395.0,94903.179485,9.197798809506963,3771.0,17509.344026395363,26.273624807981168,3.026927109551252,8.005202144522627,185.09550186387315,763.0,26.44652099139057,20.89625222660834,8.943350304291016,10.006965708895223,21.849427274220943
desc_ddf_gen_0.80_sn_v4.3.1_10yrs,40.65494822171572,396.0,95886.596058,9.356875588847442,3846.0,17534.522835751697,26.279392114093145,3.019527982241925,7.994841841660673,185.73493281188968,767.0,26.394796043490715,20.745394899317034,8.864020791028452,9.990706816292004,21.895134954302193
desc_ddf_gen_0.80_v4.3.1_10yrs,40.65494822171572,396.0,95886.596058,9.356875588847442,3846.0,17534.522835751697,26.279392114093145,3.019527982241925,7.994841841660673,185.73493281188968,767.0,26.394796043490715,20.745394899317034,8.864020791028452,9.990706816292004,21.895134954302193
desc_ddf_gen_0.80_wz_v4.3.1_10yrs,40.51776144969699,394.0,94765.950828,9.18922112581568,3694.0,17489.200978910296,26.274954340254745,3.02750331293646,8.0144309971256,185.2837863894,762.0,26.942050649320663,20.907878438203625,8.952527399416795,10.008634187390271,21.97027016783977
desc_ddf_v4.3.1_10yrs,40.652216803842606,395.0,94201.777596,9.262895582974648,3792.0,17526.129899299587,26.282395296315475,3.0316101616845117,8.006571976256964,188.044622225954,763.0,26.075972544655087,20.94159846912953,8.950695307281421,9.99702778856772,21.91258295521402
four_roll_v4.3.1_10yrs,40.55180448752128,398.0,102108.774822,9.355443256425117,4067.0,17481.647336103393,26.283742147468264,2.9878011024193256,7.031807563202165,183.87468798386786,771.0,25.47535377301574,20.889007600455443,8.000125000746266,9.009952818534657,20.418965076994937
fp_tweek_ne1_v4.3.2_10yrs,41.417314712593054,430.0,116413.675553,10.319122765868418,4544.0,17715.81026311731,26.340169168669593,2.9790854729180865,7.018695174328968,187.5137751411577,837.0,25.895850134485954,19.07810926800812,7.987945917411707,8.979194980875036,19.976856634220894
fp_tweek_ne2_v4.3.2_10yrs,40.69689298572341,395.0,97109.41570499999,9.274260000634358,3819.0,17526.129899299587,26.290034448246182,3.0185017238964065,7.985781108192896,183.68553734174333,769.0,26.898804941101844,21.02699916675374,8.868883367757007,9.97281414572717,21.803326238794398
g_early_v4.3.2_10yrs,40.61800382704948,399.0,96167.35865099999,9.23573315182074,3842.0,17503.468970878886,26.285950140400885,3.0361797122386633,7.994268220358208,187.54822336766642,769.0,26.914487565090894,20.396942948420474,8.87057583382375,9.985511243950896,20.96165309326534
nes_early_all_v4.3.3_10yrs,40.827252974323386,397.0,96392.978325,9.189514990515471,3891.0,17560.540938753245,26.298270622767575,3.043011180459871,7.983192387759118,188.14488729677015,768.0,26.936335505310126,21.499110634937097,8.95164506857327,9.932162937115208,20.918923455414188
nes_early_low_v4.3.2_10yrs,40.55239545238013,399.0,96874.658168,9.219880257512376,3917.0,17475.772280586916,26.286257624808357,3.0246243023739225,7.979044892374077,186.1647234629797,770.0,26.872621547679955,20.94172901710226,8.87117248503273,9.931912878279036,20.921380657429836
nes_early_v4.3.2_10yrs,40.672728957845436,398.0,96191.26169,9.232114054550337,3873.0,17524.451312009165,26.286587058329527,3.0239202303237107,7.976582094997866,185.74773097565216,769.0,26.815912722457142,20.97917721511658,8.897892827544638,9.963111591820052,20.933901041033096
norot_v4.3.2_10yrs,40.6652656350124,398.0,103085.800797,9.788539017180444,3968.0,17524.451312009165,26.28531201864731,2.988900535756329,7.968238216890313,184.64557916864,770.0,26.482879627074,20.934774640270916,8.896854073576833,9.961720953782788,20.815829243751068
one_snap_v4.3.1_10yrs,41.451520700510784,434.0,118814.45483100001,,4519.0,17716.64955676252,26.34664779815926,2.9746282582636923,7.017946187297639,188.0254984389505,838.0,25.461658319858543,19.866779431076793,7.971920000036334,8.96374061124152,19.820620767575747
retro_baseline_v2.0_10yrs,34.64441058084638,449.0,75671.324978,8.51059988660953,2166.0,15102.249851929737,26.256200823195854,3.8792022173074656,8.959477406307997,165.01856656808806,848.0,22.927298331946076,19.462047794087994,9.980348082339333,13.879195071753202,22.347310211924196
start_date_mjdp180_v4.3.1_10yrs,41.08395627201472,404.0,103544.36213699999,9.57884437196022,3929.0,17632.720192241406,26.31349986871362,3.001574120935402,7.109068167312216,179.84321931843766,783.0,25.947168159129433,20.02007663666882,8.361530080273951,9.867929458470826,20.38208704347562
start_date_mjdp270_v4.3.1_10yrs,40.98128452977718,401.0,102047.640767,9.48632686567315,3685.0,17604.184208304225,26.30712018275497,3.0007508393973694,7.85415453942187,179.46517726376413,777.0,25.968438084009904,20.937803092510876,8.74078635614569,9.898437866691893,20.445777678391096
start_date_mjdp360_v4.3.1_10yrs,40.90178797403962,402.0,98679.4762,9.382359106955144,3546.0,17584.880454464368,26.301126069951295,3.0182028782983252,7.933618973376724,184.7296229814695,778.0,25.994920904708124,20.97775590868332,8.935717748285242,9.963811022547816,20.92237548970843
start_date_mjdp90_v4.3.1_10yrs,41.08019200829549,402.0,105903.247194,,4134.0,17618.452200272815,26.319053080322313,2.9933702351081592,7.053826697985642,179.05967706867264,778.0,25.899023605437833,19.976485829372905,8.027214781341172,9.19756464141392,20.35213294908681
weather_cloudso0v4.3.1_10yrs,40.70196858728494,398.0,98689.67921500001,9.275038511221863,3904.0,17537.88001033254,26.28601283865374,3.020102711569052,7.960062495545571,184.7971226892526,769.0,26.43559505216217,20.99802168630231,8.899687530340088,9.96481547584699,21.393021401425358
weather_cloudso10v4.3.1_10yrs,41.057052482246775,433.0,108516.401583,9.842569604400211,4168.0,17617.612906627604,26.315136248645718,2.9917609117819666,7.032339508914447,190.80910749114133,835.0,25.527078055683887,19.972186899189182,8.031758976179844,9.007967937948706,20.038382210077543
weather_cloudso12v4.3.1_10yrs,41.005321868676155,431.0,109267.05811000001,,4082.0,17605.862795594647,26.31076196163268,2.9997721551335417,7.446042639821826,189.79017717221376,833.0,25.911938510231266,20.451688745217325,8.058869038928606,9.05942399153355,20.9558502992586
weather_cloudso16v4.3.1_10yrs,41.09385665330373,435.0,112456.79592,10.070388945883863,4399.0,17635.23807317704,26.314228435459725,2.9827332627082797,6.980135806606995,187.48431820142255,842.0,25.90211883612028,19.914137809641034,7.979247579314688,8.974977423007658,19.89971918399533
weather_cloudso18v4.3.1_10yrs,41.213211688141044,444.0,113883.399095,10.190535329705433,4347.0,17665.45264440464,26.323258446914796,2.9807084127751295,6.97598005290638,190.43400222173784,859.0,25.21906496664451,19.80951613182333,7.985906007452286,8.952443843038054,19.86008026887066
weather_cloudso1v4.3.1_10yrs,40.954802883984215,402.0,103663.791741,9.450114534904397,4058.0,17579.00539894789,26.313193447975166,3.0181461526226485,7.900464019665378,183.4951663410147,776.0,26.37180682237704,20.980302794268937,8.465094984179814,9.935496964153572,20.970663808999234
weather_cloudso20v4.3.1_10yrs,40.98667151972039,436.0,106426.56399,10.00185074752423,4298.0,17596.630565497326,26.311363505109043,2.9908678246029012,7.0861732310695515,189.5856275734502,844.0,25.037846504490517,19.976770600438613,8.071642465622062,9.059489541687071,21.027538088059373
weather_cloudso2v4.3.1_10yrs,40.95456557652571,407.0,105185.824025,9.562795412981965,4076.0,17584.041160819157,26.31097345239187,2.9951048305811128,7.024087293415505,183.11447612914972,787.0,26.81191400010721,20.950194334611297,8.012865861788669,9.173308731269572,20.921048258613155
weather_cloudso30v4.3.1_10yrs,40.906070773678636,421.0,101293.196272,9.757002111246925,4141.0,17599.14844643296,26.29580839365027,2.9850132234114426,6.997468778259645,187.97066633753656,815.0,25.92989928883071,20.405613182700108,8.046179119181033,9.14345155961928,20.844652450110516
