,name,group
0,agnddf_illum10_v1.3_10yrs.db,AGN_DDF
1,agnddf_illum15_v1.3_10yrs.db,AGN_DDF
2,agnddf_illum30_v1.3_10yrs.db,AGN_DDF
3,agnddf_illum60_v1.3_10yrs.db,AGN_DDF
4,dcr_nham1_v1.3_10yrs.db,DCR
5,dcr_nham2_v1.3_10yrs.db,DCR
6,dcr_nham3_v1.3_10yrs.db,DCR
7,descddf_illum3_v1.3_10yrs.db,DESC_DDF
8,descddf_illum4_v1.3_10yrs.db,DESC_DDF
9,descddf_illum5_v1.3_10yrs.db,DESC_DDF
10,descddf_illum7_v1.3_10yrs.db,DESC_DDF
11,descddf_illum10_v1.3_10yrs.db,DESC_DDF
12,descddf_illum15_v1.3_10yrs.db,DESC_DDF
13,descddf_illum30_v1.3_10yrs.db,DESC_DDF
14,descddf_illum60_v1.3_10yrs.db,DESC_DDF
15,altLike_large_v1.3_10yrs.db,alt_sched
16,altLike_v1.3_10yrs.db,alt_sched
17,baseline_2snap_v1.3_10yrs.db,baseline
18,baseline_nomix_v1.3_10yrs.db,baseline
19,baseline_v1.3_1yrs.db,baseline
20,baseline_v1.3_10yrs.db,baseline
21,bulges_bsv1.3_10yrs.db,bulge
22,bulges_bulge_wfdv1.3_10yrs.db,bulge
23,bulges_cadence_bsv1.3_10yrs.db,bulge
24,bulges_cadence_bulge_wfdv1.3_10yrs.db,bulge
25,bulges_cadence_i_heavyv1.3_10yrs.db,bulge
26,bulges_i_heavyv1.3_10yrs.db,bulge
27,euclid_ddf_v1.3_10yrs.db,euclid_DDF
28,filterload_illum3_v1.3_10yrs.db,filter_load
29,filterload_illum4_v1.3_10yrs.db,filter_load
30,filterload_illum5_v1.3_10yrs.db,filter_load
31,filterload_illum7_v1.3_10yrs.db,filter_load
32,filterload_illum10_v1.3_10yrs.db,filter_load
33,filterload_illum15_v1.3_10yrs.db,filter_load
34,filterload_illum30_v1.3_10yrs.db,filter_load
35,filterload_illum60_v1.3_10yrs.db,filter_load
36,add_mag_clouds_v1.3_10yrs.db,footprints
37,baseline_v1.3_10yrs.db,footprints
38,big_sky_dust_v1.3_10yrs.db,footprints
39,big_sky_nouiy_v1.3_10yrs.db,footprints
40,big_sky_v1.3_10yrs.db,footprints
41,bluer_footprint_v1.3_10yrs.db,footprints
42,gp_heavy_v1.3_10yrs.db,footprints
43,newA_v1.3_10yrs.db,footprints
44,newB_v1.3_10yrs.db,footprints
45,no_gp_north_v1.3_10yrs.db,footprints
46,stuck_rolling_v1.3_10yrs.db,footprints
47,baseline_v1.3_10yrs.db,platform
48,presto_third_v1.3_10yrs.db,presto
49,presto_v1.3_10yrs.db,presto
50,altroll_mod2_sdf_0.20_v1.3_10yrs.db,roll_alt
51,altwfd_v1.3_10yrs.db,roll_alt
52,altroll_mod2_dust_sdf_0.20_v1.3_10yrs.db,roll_alt_dust
53,altwfd_dust_v1.3_10yrs.db,roll_alt_dust
54,delayedrolling_mod2_sdf_0.10_v1.3_10yrs.db,rolling_cadence
55,delayedrolling_mod2_sdf_0.20_v1.3_10yrs.db,rolling_cadence
56,delayedrolling_mod3_sdf_0.10_v1.3_10yrs.db,rolling_cadence
57,delayedrolling_mod3_sdf_0.20_v1.3_10yrs.db,rolling_cadence
58,delayedrolling_mod6_sdf_0.10_v1.3_10yrs.db,rolling_cadence
59,delayedrolling_mod6_sdf_0.20_v1.3_10yrs.db,rolling_cadence
60,simplerolling_mod2_sdf_0.20_v1.3_10yrs.db,rolling_cadence
61,simplerolling_mod3_sdf_0.20_v1.3_10yrs.db,rolling_cadence
62,simplerolling_mod5_sdf_0.20_v1.3_10yrs.db,rolling_cadence
63,simplerolling_mod10_sdf_0.20_v1.3_10yrs.db,rolling_cadence
64,tde_illum75_v1.3_10yrs.db,tde_detect
65,uer_illum75_v1.3_10yrs.db,tde_detect
66,templatew0.00_v1.3_10yrs.db,templates
67,templatew0.10_v1.3_10yrs.db,templates
68,templatew0.50_v1.3_10yrs.db,templates
69,templatew1.00_v1.3_10yrs.db,templates
70,templatew1.50_v1.3_10yrs.db,templates
71,templatew2.00_v1.3_10yrs.db,templates
72,templatew2.50_v1.3_10yrs.db,templates
73,templatew3.00_v1.3_10yrs.db,templates
74,templatew4.00_v1.3_10yrs.db,templates
75,templatew5.00_v1.3_10yrs.db,templates
76,templatew6.00_v1.3_10yrs.db,templates
77,templatew8.00_v1.3_10yrs.db,templates
78,templatew10.00_v1.3_10yrs.db,templates
79,twilight_neo_mod1_v1.3_10yrs.db,twilight_neo
80,twilight_neo_mod2_v1.3_10yrs.db,twilight_neo
81,twilight_neo_mod3_v1.3_10yrs.db,twilight_neo
82,twilight_neo_mod4_v1.3_10yrs.db,twilight_neo
83,wfd_65_v1.3_10yrs.db,wfd_depth
84,wfd_70_v1.3_10yrs.db,wfd_depth
85,wfd_75_v1.3_10yrs.db,wfd_depth
86,wfd_80_v1.3_10yrs.db,wfd_depth
87,wfd_85_v1.3_10yrs.db,wfd_depth
88,wfd_90_v1.3_10yrs.db,wfd_depth
89,wfd_95_v1.3_10yrs.db,wfd_depth
90,wfd_standard_v1.3_10yrs.db,wfd_depth
91,wfd_only_2snap_v1.3_10yrs.db,wfd_only
92,wfd_only_nomix_v1.3_10yrs.db,wfd_only
93,wfd_only_v1.3_10yrs.db,wfd_only
